Role,Email,Password
CUSTOMER,jonathan.tak1124@shopsense.com,Password@123
CUSTOMER,chandran.ganesh2388@shopsense.com,Password@123
CUSTOMER,sachi.bail7586@shopsense.com,Password@123
CUSTOMER,ria.khanna5616@shopsense.com,Password@123
CUSTOMER,radhika.kulkarni2533@shopsense.com,Password@123
CUSTOMER,charan.pillai9589@shopsense.com,Password@123
CUSTOMER,om.khurana1182@shopsense.com,Password@123
CUSTOMER,finn.tak8533@shopsense.com,Password@123
CUSTOMER,akshay.ravel6778@shopsense.com,Password@123
CUSTOMER,urishilla.hari6513@shopsense.com,Password@123
CUSTOMER,yochana.ravel9518@shopsense.com,Password@123
CUSTOMER,krish.parekh1235@shopsense.com,Password@123
CUSTOMER,yutika.dugar3479@shopsense.com,Password@123
CUSTOMER,nachiket.kar5807@shopsense.com,Password@123
CUSTOMER,neel.dhar3224@shopsense.com,Password@123
CUSTOMER,chakradev.purohit6231@shopsense.com,Password@123
CUSTOMER,jyoti.wason853@shopsense.com,Password@123
CUSTOMER,arjun.padmanabhan8001@shopsense.com,Password@123
CUSTOMER,sanaya.warrior6606@shopsense.com,Password@123
CUSTOMER,omkaar.mammen3707@shopsense.com,Password@123
CUSTOMER,nitara.lall8971@shopsense.com,Password@123
CUSTOMER,victor.ganguly3226@shopsense.com,Password@123
CUSTOMER,pranav.sanghvi8026@shopsense.com,Password@123
CUSTOMER,oliver.wali1781@shopsense.com,Password@123
CUSTOMER,andrew.comar4726@shopsense.com,Password@123
CUSTOMER,sarthak.ram352@shopsense.com,Password@123
CUSTOMER,anya.nagar147@shopsense.com,Password@123
CUSTOMER,peter.saraf7272@shopsense.com,Password@123
CUSTOMER,yochana.khare4491@shopsense.com,Password@123
CUSTOMER,vedhika.panchal6810@shopsense.com,Password@123
CUSTOMER,gunbir.prashad2308@shopsense.com,Password@123
CUSTOMER,saanvi.chaudhari7249@shopsense.com,Password@123
CUSTOMER,reyansh.bakshi5589@shopsense.com,Password@123
CUSTOMER,ryan.bera5282@shopsense.com,Password@123
CUSTOMER,nikita.ganesh5238@shopsense.com,Password@123
CUSTOMER,waida.prasad716@shopsense.com,Password@123
CUSTOMER,victor.kala345@shopsense.com,Password@123
CUSTOMER,jyoti.sarraf9199@shopsense.com,Password@123
CUSTOMER,nicholas.luthra7822@shopsense.com,Password@123
CUSTOMER,janya.peri4799@shopsense.com,Password@123
CUSTOMER,sai.arya6575@shopsense.com,Password@123
CUSTOMER,jai.sekhon8467@shopsense.com,Password@123
CUSTOMER,christopher.kapur3980@shopsense.com,Password@123
CUSTOMER,abhiram.mammen1086@shopsense.com,Password@123
CUSTOMER,harshil.shere1505@shopsense.com,Password@123
CUSTOMER,william.mutti7400@shopsense.com,Password@123
CUSTOMER,aarush.gera4951@shopsense.com,Password@123
CUSTOMER,devansh.kanda5364@shopsense.com,Password@123
CUSTOMER,niharika.dara2460@shopsense.com,Password@123
CUSTOMER,samar.sura9356@shopsense.com,Password@123
CUSTOMER,janya.lal4433@shopsense.com,Password@123
CUSTOMER,ekaraj.seshadri3193@shopsense.com,Password@123
CUSTOMER,zilmil.desai301@shopsense.com,Password@123
CUSTOMER,geetika.sandhu9616@shopsense.com,Password@123
CUSTOMER,aditya.venkataraman1124@shopsense.com,Password@123
CUSTOMER,tamanna.devan5152@shopsense.com,Password@123
CUSTOMER,max.bakshi7017@shopsense.com,Password@123
CUSTOMER,ira.halder7852@shopsense.com,Password@123
CUSTOMER,advik.sehgal8890@shopsense.com,Password@123
CUSTOMER,qushi.mann898@shopsense.com,Password@123
CUSTOMER,aditya.gara7805@shopsense.com,Password@123
CUSTOMER,darpan.bhatti4028@shopsense.com,Password@123
CUSTOMER,laksh.tara4698@shopsense.com,Password@123
CUSTOMER,isha.bains5861@shopsense.com,Password@123
CUSTOMER,abhimanyu.sarraf4695@shopsense.com,Password@123
CUSTOMER,ekta.mann8562@shopsense.com,Password@123
CUSTOMER,eshana.balan968@shopsense.com,Password@123
CUSTOMER,maanav.munshi4127@shopsense.com,Password@123
CUSTOMER,zarna.thakkar7128@shopsense.com,Password@123
CUSTOMER,atharv.saini1994@shopsense.com,Password@123
CUSTOMER,rohan.kari2024@shopsense.com,Password@123
CUSTOMER,warhi.dada1982@shopsense.com,Password@123
CUSTOMER,luke.amble293@shopsense.com,Password@123
CUSTOMER,gunbir.sarna9468@shopsense.com,Password@123
CUSTOMER,nikita.kapoor3013@shopsense.com,Password@123
CUSTOMER,amara.saraf4341@shopsense.com,Password@123
CUSTOMER,oviya.mahajan6938@shopsense.com,Password@123
CUSTOMER,laban.naik7779@shopsense.com,Password@123
CUSTOMER,warda.narasimhan1566@shopsense.com,Password@123
CUSTOMER,samuel.nagar5693@shopsense.com,Password@123
CUSTOMER,warinder.mane7846@shopsense.com,Password@123
CUSTOMER,bhavani.rajagopal1760@shopsense.com,Password@123
CUSTOMER,saanvi.sibal512@shopsense.com,Password@123
CUSTOMER,chaitaly.krishnan1397@shopsense.com,Password@123
CUSTOMER,neelima.pillai3970@shopsense.com,Password@123
CUSTOMER,utkarsh.rout641@shopsense.com,Password@123
CUSTOMER,ekalinga.bawa8188@shopsense.com,Password@123
CUSTOMER,wahab.rama8464@shopsense.com,Password@123
CUSTOMER,falguni.kalita2745@shopsense.com,Password@123
CUSTOMER,kamala.khosla5682@shopsense.com,Password@123
CUSTOMER,shivani.balan6121@shopsense.com,Password@123
CUSTOMER,urvi.kala4361@shopsense.com,Password@123
CUSTOMER,unnati.rajan4235@shopsense.com,Password@123
CUSTOMER,yoshita.dada1286@shopsense.com,Password@123
CUSTOMER,udant.cheema4225@shopsense.com,Password@123
CUSTOMER,leena.sarma7527@shopsense.com,Password@123
CUSTOMER,jacob.brahmbhatt782@shopsense.com,Password@123
CUSTOMER,devansh.d�alia2857@shopsense.com,Password@123
CUSTOMER,bhavya.bhatti2703@shopsense.com,Password@123
CUSTOMER,ayushman.sane6942@shopsense.com,Password@123
CUSTOMER,advika.dara1601@shopsense.com,Password@123
CUSTOMER,sathvik.dani9667@shopsense.com,Password@123
CUSTOMER,ikshita.bail6202@shopsense.com,Password@123
CUSTOMER,charan.sastry7509@shopsense.com,Password@123
CUSTOMER,orinder.ram7214@shopsense.com,Password@123
CUSTOMER,azad.boase2880@shopsense.com,Password@123
CUSTOMER,saumya.sinha2259@shopsense.com,Password@123
CUSTOMER,shaurya.shan7086@shopsense.com,Password@123
CUSTOMER,xavier.soni9206@shopsense.com,Password@123
CUSTOMER,oviya.sandal6629@shopsense.com,Password@123
CUSTOMER,suhani.varkey325@shopsense.com,Password@123
CUSTOMER,jhalak.bhatt1850@shopsense.com,Password@123
CUSTOMER,victor.sachdev7404@shopsense.com,Password@123
CUSTOMER,jeet.tripathi8097@shopsense.com,Password@123
CUSTOMER,aashi.khare2490@shopsense.com,Password@123
CUSTOMER,hemal.shankar4889@shopsense.com,Password@123
CUSTOMER,vasudha.vig5251@shopsense.com,Password@123
CUSTOMER,amara.sekhon1917@shopsense.com,Password@123
CUSTOMER,chandresh.dubey875@shopsense.com,Password@123
CUSTOMER,dalaja.loyal2817@shopsense.com,Password@123
CUSTOMER,yadavi.wagle4212@shopsense.com,Password@123
CUSTOMER,upasna.raja3968@shopsense.com,Password@123
